cod_anuncio;prioridade;cep_2dig;Estado;Cidade
165978;3;83;PR;São Jose dos Pinhais
27232;3;81;PR;Curitiba
27234;3;13;SP;Campinas
165980;3;12;SP;São Jose dos Campos
165982;2;5;SP;São Paulo
165988;3;13;SP;Campinas
27254;3;13;SP;Campinas
166002;3;71;DF;Brasi­lia
166005;3;31;MG;Belo Horizonte
166007;3;3;SP;São Paulo
166011;3;95;RS;Caxias do Sul
166023;3;16;SP;Lins
166024;3;84;PR;Telêmaco Borba
166027;3;2;SP;São Paulo
166032;3;17;SP;Bauru
166037;3;4;SP;São Paulo
166038;3;89;SC;Joinville
166041;3;40;BA;Salvador
166049;3;12;SP;Taubate
166051;3;6;SP;Vargem Grande Paulista
166052;3;6;SP;Vargem Grande Paulista
166071;3;38;MG;Uberaba
27324;3;81;PR;Curitiba
166076;3;13;SP;Jundiai­
166088;3;14;SP;Ribeirão Preto
27337;3;13;SP;Serra Negra
166102;3;84;PR;Ponta Grossa
166103;3;3;SP;São Paulo
27347;3;89;SC;São Miguel do Oeste
165795;3;7;SP;Arujá
27349;3;3;SP;São Paulo
165815;3;90;RS;Porto Alegre
165827;3;13;SP;São Carlos
165841;3;70;DF;Brasi­lia
165845;3;7;SP;Guarulhos
165851;3;59;RN;Natal
165865;3;72;DF;Brasi­lia
165873;3;78;MT;Cuiabá
27379;3;89;SC;Joinville
165877;3;82;PR;Curitiba
165896;1;80;PR;Curitiba
165898;3;95;RS;Caxias do Sul
165907;3;26;RJ;Nova Iguaçu
27404;3;3;SP;São Paulo
165915;3;2;SP;São Paulo
165929;3;72;DF;Brasi­lia
165931;3;41;BA;Salvador
192069;3;3;SP;São Paulo
27424;3;12;SP;São Jose dos Campos
165623;1;60;CE;Fortaleza
165642;3;3;SP;São Paulo
165652;3;81;PR;Curitiba
165654;3;9;SP;São Bernardo do Campo
27441;3;5;SP;São Paulo
165659;3;1;SP;São Paulo
27448;3;59;RN;Natal
27449;3;90;RS;Porto Alegre
165691;3;9;SP;Diadema
165698;1;86;PR;Londrina
165704;1;2;SP;São Paulo
165707;3;79;MS;Campo Grande
165711;3;22;RJ;Rio de Janeiro
165713;3;53;PE;Olinda
165716;3;89;SC;Mafra
165721;3;84;PR;Castro
165734;1;66;PA;Belem
165736;2;79;MS;Três Lagoas
27498;1;75;GO;Anápolis
165744;3;78;MT;Várzea Grande
27501;3;31;MG;Belo Horizonte
27502;2;4;SP;São Paulo
165750;3;11;SP;Santos
165753;3;22;RJ;Rio de Janeiro
192026;1;4;SP;São Paulo
165395;3;44;BA;Feira de Santana
165402;3;29;ES;Serra
165411;1;18;SP;Sorocaba
165417;3;13;SP;Indaiatuba
165419;1;18;SP;Sorocaba
165423;2;80;PR;Curitiba
27556;1;14;SP;Franca
165429;3;13;SP;Indaiatuba
165432;2;88;SC;Palhoça
27563;3;30;MG;Belo Horizonte
165438;1;21;RJ;Rio de Janeiro
165440;3;21;RJ;Rio de Janeiro
27582;3;22;RJ;Rio de Janeiro
165459;3;29;ES;Serra
165461;3;95;RS;Teuti´nia
165465;3;89;SC;Blumenau
165466;3;29;ES;Serra
27598;3;3;SP;São Paulo
165467;3;55;PE;Vitoria de Santo Antão
165470;2;72;DF;Brasi­lia
165474;1;95;RS;Caxias do Sul
165485;3;93;RS;Sapucaia do Sul
27614;3;44;BA;Feira de Santana
27615;3;79;MS;Paranai­ba
165488;1;12;SP;Bragança Paulista
27633;3;25;RJ;Duque de Caxias
27634;3;25;RJ;Duque de Caxias
165489;3;93;RS;Sapucaia do Sul
165502;3;59;RN;Natal
165525;3;2;SP;São Paulo
165536;3;2;SP;São Paulo
165554;3;18;SP;Sorocaba
165573;3;5;SP;São Paulo
165592;3;17;SP;Bauru
27650;3;89;SC;Joinville
165597;3;75;GO;Jatai­
191981;1;82;PR;Curitiba
27664;1;21;RJ;Rio de Janeiro
165201;3;91;RS;Porto Alegre
27696;3;93;RS;Sapiranga
165203;2;4;SP;São Paulo
27709;3;96;RS;Rio Grande
165207;3;71;DF;Brasi­lia
165211;3;99;RS;Passo Fundo
27730;3;27;RJ;Volta Redonda
165215;3;89;SC;Timbo
165226;3;13;SP;São Jose do Rio Pardo
165231;3;17;SP;Bauru
165242;3;13;SP;Jundiai­
165245;3;18;SP;Avare
27756;2;79;MS;Campo Grande
165248;3;18;SP;Avare
165250;3;18;SP;Avare
27764;3;93;RS;Novo Hamburgo
165262;1;9;SP;São Bernardo do Campo
165264;3;81;PR;Curitiba
165270;3;93;RS;Campo Bom
165271;3;4;SP;São Paulo
165276;2;80;PR;Curitiba
27782;3;24;RJ;Niteroi
27783;3;58;PB;João Pessoa
165277;1;18;SP;Botucatu
165284;3;4;SP;São Paulo
27803;3;13;SP;Indaiatuba
165288;3;11;SP;Santos
27812;3;68;PA;Parauapebas
27818;3;26;RJ;Nova Iguaçu
165289;3;28;RJ;Cabo Frio
165292;3;78;MT;Sinop
165294;1;89;SC;Joinville
165305;3;9;SP;Santo Andre
165314;3;74;GO;Goiânia
165316;1;14;SP;Ribeirão Preto
165327;3;37;MG;Extrema
165335;3;34;MG;Nova Lima
165343;1;50;PE;Recife
165345;3;84;PR;Ponta Grossa
165384;3;87;PR;Maringá
165387;3;87;PR;Maringá
191921;1;3;SP;São Paulo
27861;3;88;SC;Florianopolis
27874;3;3;SP;São Paulo
27876;1;71;DF;Brasi­lia
164981;1;13;SP;Campinas
164984;1;13;SP;Piracicaba
164987;3;80;PR;Curitiba
27886;3;15;SP;Jose Bonifácio
165023;3;91;RS;Porto Alegre
165025;1;3;SP;São Paulo
165030;3;18;SP;Sorocaba
27899;3;15;SP;Santa Fe do Sul
27901;3;45;BA;Ilheus
165033;3;12;SP;Taubate
165035;3;18;SP;Sorocaba
165036;3;7;SP;Guarulhos
165050;3;50;PE;Recife
165056;3;4;SP;São Paulo
27922;3;89;SC;Rio do Sul
27927;2;89;SC;Blumenau
165057;3;9;SP;São Bernardo do Campo
165060;3;95;RS;Carlos Barbosa
27940;3;3;SP;São Paulo
165078;3;82;PR;Curitiba
165093;3;8;SP;Suzano
165105;3;74;GO;Goiânia
27951;3;92;RS;Canoas
27953;3;72;GO;Valparai­so de Goiás
165107;3;40;BA;Salvador
165108;3;71;DF;Brasi­lia
