cod_cliente;flg_unico_dono;flg_licenciado;flg_ipva_pago;flg_todas_revisoes_concessionaria;flg_garantia_fabrica;flg_blindado;flg_aceita_troca;flg_adaptado_pcd
2133;0;0;10;0;0;0;0;0
19654;0;1;10;0;0;0;0;0
2688;0;0;0;0;0;0;0;0
1146;1;1;0;0;0;0;0;0
3055;1;1;10;0;0;0;0;0
23857;0;0;0;0;0;0;0;0
22574;1;1;10;0;10;0;1;0
5237;0;0;0;0;10;0;0;0
16889;0;1;10;10;0;0;0;0
21960;0;1;10;0;0;0;1;0
23903;0;1;10;0;0;0;0;0
23904;0;1;10;0;0;0;1;0
23773;0;1;0;10;0;0;0;0
12908;0;1;10;10;10;0;1;0
23307;1;1;10;10;10;0;0;0
6864;0;0;0;0;0;0;0;0
16786;0;1;10;10;0;0;1;0
21465;0;1;10;10;10;0;1;0
995;0;0;10;0;0;0;0;0
24075;1;1;10;10;10;0;1;0
20680;0;1;10;10;0;0;0;0
17991;0;0;0;0;0;0;0;0
14263;1;1;10;10;10;0;1;0
1456;1;1;10;0;0;0;0;0
2824;1;0;10;0;0;0;0;0
23120;1;1;10;10;10;0;0;0
15005;0;1;10;0;0;1;0;0
13138;1;1;10;10;0;0;0;0
22747;0;0;10;0;0;0;0;0
6826;0;0;0;0;0;0;0;0
19538;1;1;10;10;10;0;1;0
24183;1;1;10;10;0;0;1;0
8286;0;0;0;0;0;0;0;0
7323;0;1;10;0;0;0;0;0
15260;1;1;10;10;0;0;1;0
7473;0;1;10;0;0;0;0;0
2531;0;0;0;0;0;0;0;0
20417;0;1;10;0;0;0;1;0
17663;0;1;10;10;0;0;1;0
19666;0;1;10;10;10;0;0;0
41;1;1;10;10;0;1;0;0
22712;0;1;10;10;0;1;1;0
8796;0;0;0;0;0;0;0;0
4610;0;0;0;0;0;0;0;0
4171;0;0;0;0;0;0;0;0
7346;0;0;0;0;0;0;0;0
22145;0;1;10;0;0;0;0;0
4363;0;0;0;0;0;0;0;0
16842;0;1;10;0;0;0;0;0
23074;1;0;10;10;0;0;1;0
24305;1;0;0;10;10;0;0;0
16108;0;0;0;0;0;1;0;0
18434;0;0;0;0;0;0;0;0
197;1;1;10;0;10;0;1;0
13601;1;1;10;10;10;0;0;0
16566;0;1;10;0;0;0;1;0
22258;0;1;10;0;0;0;1;0
15432;0;1;10;10;0;0;0;0
24370;0;1;10;0;0;0;1;0
24376;0;1;10;0;0;0;1;0
19880;1;1;10;0;0;0;0;0
23991;1;1;10;10;0;0;0;0
17153;1;1;10;10;0;0;1;0
24393;0;1;10;0;0;0;0;0
24404;0;0;0;0;0;1;0;0
14873;1;1;10;10;0;0;0;0
13847;0;1;10;0;0;0;0;0
3122;0;1;10;10;0;0;1;0
22100;1;1;10;10;0;0;1;0
1896;0;1;10;10;10;0;1;0
16026;1;1;0;0;0;0;1;0
12838;1;1;10;10;0;0;1;0
24509;0;0;0;0;0;0;1;0
15129;0;1;10;0;0;1;1;0
18981;0;0;0;0;0;0;0;0
24584;0;1;10;0;0;0;0;0
24596;0;1;10;0;0;0;1;0
116;1;1;10;10;0;0;0;0
981;1;0;0;10;0;0;0;0
22039;1;1;10;10;10;0;0;0
14335;0;1;10;0;10;0;0;0
24672;1;1;10;0;0;0;1;0
18990;0;1;10;10;0;0;1;0
18429;0;1;10;0;0;0;1;0
18566;1;1;10;10;0;0;1;0
20788;0;1;10;0;0;0;0;0
24700;1;1;10;10;0;0;1;0
1094;0;0;0;0;0;0;0;0
23702;0;1;10;10;10;1;0;0
16548;0;1;10;0;0;0;0;0
19467;1;1;10;10;10;0;0;0
18132;0;1;0;0;0;0;0;0
21670;0;1;10;10;10;0;0;0
22944;0;1;0;0;0;0;1;0
19281;1;1;10;0;0;0;0;0
16307;0;1;10;10;0;0;0;0
24802;0;1;10;0;0;0;1;0
24811;0;1;10;0;0;0;0;0
24822;0;1;10;10;0;0;1;0
24829;0;1;10;0;0;1;0;0
19107;0;1;10;10;0;0;0;0
1643;0;1;10;0;0;0;0;0
12767;0;1;10;10;0;0;0;0
868;0;1;10;10;0;0;1;0
971;0;1;10;0;0;0;1;0
22012;0;0;10;0;0;0;0;0
21031;1;1;10;10;0;0;0;0
254;1;1;10;10;10;1;1;0
24951;0;0;0;10;0;0;1;0
21705;0;1;10;0;0;0;1;0
13196;0;1;10;10;10;0;0;0
21840;0;1;10;10;10;0;0;0
21669;0;1;10;0;0;0;1;0
13373;0;1;10;0;0;0;1;0
19557;1;1;10;10;10;0;0;0
23898;1;1;10;10;10;0;1;0
57;1;1;10;10;10;0;0;0
18996;0;1;10;0;0;0;1;0
15023;1;1;10;10;0;0;1;0
25027;0;0;0;0;0;0;0;0
16776;0;1;10;10;10;0;1;0
6051;0;1;10;0;0;0;0;0
788;0;1;10;0;0;0;0;0
17430;0;1;10;0;0;0;1;0
12802;0;0;0;0;0;0;0;0
21998;0;0;0;0;0;0;0;0
6164;0;0;0;0;0;0;0;0
15015;1;1;10;10;10;0;1;0
